macaddr,Unnamed: 0,_time,asa_code,user,radiomac,slotnum,name,building_name
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,5,2020-02-14T23:59:57.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,0c:85:25:69:48:10,1,bryancenter-107-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,12,2020-02-14T23:59:17.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d8:24:bd:e9:5f:b0,0,bryancenter-002d-ap3502e-rw-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,523,2020-02-14T23:59:12.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d8:24:bd:e9:5f:b0,0,bryancenter-002d-ap3502e-rw-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,983,2020-02-14T23:58:55.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,08:cc:68:91:23:00,1,bryancenter-postoff-ap3602e-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,527,2020-02-14T23:58:55.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,c4:0a:cb:df:25:50,1,bryanctr-mcdonalds-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,984,2020-02-14T23:58:49.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:10:3d:e0,0,bryancenter-210-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,534,2020-02-14T23:58:43.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:10:3d:e0,0,bryancenter-210-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,988,2020-02-14T23:58:25.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,08:cc:68:91:23:00,1,bryancenter-postoff-ap3602e-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,989,2020-02-14T23:58:19.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,c4:0a:cb:df:25:50,1,bryanctr-mcdonalds-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,3614,2020-02-14T23:58:03.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:4a:5e:c0,1,bryancenter-001b-ap3502i-rc-1,Bryan Student Center
